2023-01-12 20:10:23,683 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq20, ack0, pkt_len16
2023-01-12 20:10:23,699 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack11, pkt_len16
2023-01-12 20:10:23,699 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq21, ack0, pkt_len16
2023-01-12 20:10:23,699 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq22, ack0, pkt_len16
2023-01-12 20:10:23,751 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack12, pkt_len16
2023-01-12 20:10:23,752 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq23, ack0, pkt_len16
2023-01-12 20:10:23,752 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq24, ack0, pkt_len16
2023-01-12 20:10:23,769 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack13, pkt_len16
2023-01-12 20:10:23,769 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq25, ack0, pkt_len16
2023-01-12 20:10:23,769 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq26, ack0, pkt_len16
2023-01-12 20:10:23,794 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack14, pkt_len16
2023-01-12 20:10:23,794 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq27, ack0, pkt_len16
2023-01-12 20:10:23,794 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq28, ack0, pkt_len16
