2023-01-12 22:35:46,726 -+- PEER13_LOGGER -+- INFO -+- Start logging
2023-01-12 22:35:46,726 -+- PEER13_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 50650).
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48002) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48004) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,137 -+- PEER13_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:47,344 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len36
2023-01-12 22:35:47,344 -+- PEER13_LOGGER -+- DEBUG -+- sending a type2 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len36
2023-01-12 22:35:47,554 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq0, ack0, pkt_len16
2023-01-12 22:35:47,555 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack1, pkt_len16
2023-01-12 22:35:47,765 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq1, ack0, pkt_len16
2023-01-12 22:35:47,765 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack2, pkt_len16
2023-01-12 22:35:47,773 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq2, ack0, pkt_len16
2023-01-12 22:35:47,774 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack3, pkt_len16
2023-01-12 22:35:47,976 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq3, ack0, pkt_len16
2023-01-12 22:35:47,976 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack4, pkt_len16
2023-01-12 22:35:47,984 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq4, ack0, pkt_len16
2023-01-12 22:35:47,984 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack5, pkt_len16
2023-01-12 22:35:48,001 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq5, ack0, pkt_len16
2023-01-12 22:35:48,002 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack6, pkt_len16
2023-01-12 22:35:48,010 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq6, ack0, pkt_len16
2023-01-12 22:35:48,010 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack7, pkt_len16
2023-01-12 22:35:48,051 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-12 22:35:48,152 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-12 22:35:48,186 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq7, ack0, pkt_len16
2023-01-12 22:35:48,187 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack8, pkt_len16
2023-01-12 22:35:48,195 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq8, ack0, pkt_len16
2023-01-12 22:35:48,195 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack9, pkt_len16
2023-01-12 22:35:48,211 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq9, ack0, pkt_len16
2023-01-12 22:35:48,212 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack10, pkt_len16
2023-01-12 22:35:48,220 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq10, ack0, pkt_len16
2023-01-12 22:35:48,221 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack11, pkt_len16
2023-01-12 22:35:48,246 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq11, ack0, pkt_len16
2023-01-12 22:35:48,246 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack12, pkt_len16
2023-01-12 22:35:48,254 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len56
2023-01-12 22:35:48,255 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq12, ack0, pkt_len16
2023-01-12 22:35:48,255 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack13, pkt_len16
2023-01-12 22:35:48,272 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq13, ack0, pkt_len16
2023-01-12 22:35:48,273 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack14, pkt_len16
2023-01-12 22:35:48,281 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq14, ack0, pkt_len16
2023-01-12 22:35:48,281 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack15, pkt_len16
2023-01-12 22:35:48,398 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq15, ack0, pkt_len16
2023-01-12 22:35:48,398 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack16, pkt_len16
2023-01-12 22:35:48,406 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq16, ack0, pkt_len16
2023-01-12 22:35:48,406 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack17, pkt_len16
2023-01-12 22:35:48,423 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq17, ack0, pkt_len16
2023-01-12 22:35:48,423 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack18, pkt_len16
2023-01-12 22:35:48,432 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq18, ack0, pkt_len16
2023-01-12 22:35:48,432 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack19, pkt_len16
2023-01-12 22:35:48,457 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq19, ack0, pkt_len16
2023-01-12 22:35:48,457 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack20, pkt_len16
2023-01-12 22:35:48,465 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq20, ack0, pkt_len16
2023-01-12 22:35:48,465 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack21, pkt_len16
2023-01-12 22:35:48,483 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq21, ack0, pkt_len16
2023-01-12 22:35:48,483 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack22, pkt_len16
2023-01-12 22:35:48,491 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq22, ack0, pkt_len16
2023-01-12 22:35:48,492 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack23, pkt_len16
2023-01-12 22:35:48,525 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq23, ack0, pkt_len16
2023-01-12 22:35:48,526 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack24, pkt_len16
2023-01-12 22:35:48,534 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq24, ack0, pkt_len16
2023-01-12 22:35:48,534 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack25, pkt_len16
2023-01-12 22:35:48,551 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq25, ack0, pkt_len16
2023-01-12 22:35:48,552 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack26, pkt_len16
2023-01-12 22:35:48,560 -+- PEER13_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48007) via spiffy, seq26, ack0, pkt_len16
2023-01-12 22:35:48,560 -+- PEER13_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48007) via spiffy, seq0, ack27, pkt_len16
